date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-05-29,0,2156,0,58,0,189,0.9,0.62,29,8733,647,52177,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-30,0,2156,0,58,0,189,0.9,0.62,29,8773,649,53365,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-31,0,2156,0,58,0,189,0.92,0.6,29,8809,651,53969,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-01,0,2156,0,58,0,189,0.92,0.6,29,8842,652,47835,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-02,0,2156,0,58,0,189,nan,nan,29,8871,652,48269,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-03,0,2156,0,58,0,189,nan,nan,30,8897,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-04,0,2156,0,58,0,189,nan,nan,30,8920,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-05,0,2156,0,58,0,189,nan,nan,30,8941,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-06,0,2156,0,58,0,189,nan,nan,30,8959,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-07,0,2156,0,58,0,189,nan,nan,30,8977,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-08,0,2156,0,58,0,189,nan,nan,31,8992,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-09,0,2156,0,58,0,189,nan,nan,31,9007,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-10,0,2156,0,58,0,189,nan,nan,31,9020,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-11,0,2156,0,58,0,189,nan,nan,31,9034,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-12,0,2156,0,58,0,189,nan,nan,31,9050,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-13,0,2156,0,58,0,189,nan,nan,31,9069,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-14,0,2156,0,58,0,189,nan,nan,31,9090,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-15,0,2156,0,58,0,189,nan,nan,32,9115,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-16,0,2156,0,58,0,189,nan,nan,32,9145,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-17,0,2156,0,58,0,189,nan,nan,32,9181,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-18,0,2156,0,58,0,189,nan,nan,32,9221,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-19,0,2156,0,58,0,189,nan,nan,32,9268,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-20,0,2156,0,58,0,189,nan,nan,32,9321,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-06-21,0,2156,0,58,0,189,nan,nan,32,9381,,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
