date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-07-10,712,14130,134,991,67,1858,1.0473002338,0.1,8316,1718924,13377,5168059,5508,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-11,695,14130,127,991,63,1858,1.0535992857,0.1,8331,1721125,12896,5166056,5310,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-12,678,14130,121,991,60,1858,1.0595395937,0.1,8345,1723248,12431,5164124,5119,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-13,662,14130,114,991,56,1858,1.065216948,0.1,8358,1725295,11982,5162262,4934,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-14,647,14130,108,991,53,1858,1.070416205,0.1,8371,1727269,11551,5160469,4753,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-15,632,14130,102,991,50,1858,1.0751159699,0.1,8383,1729171,11137,5158742,4578,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-16,618,14130,96,991,47,1858,1.0796053353,0.1031101175,8395,1731005,10737,5157077,4409,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-17,604,14130,91,991,43,1858,1.0836689705,0.1,8407,1732771,10350,5155473,4247,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-18,591,14130,86,991,41,1858,1.0873128905,0.1,8418,1734471,9974,5153927,4093,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-19,578,14130,81,991,38,1858,1.0905618698,0.1,8429,1736109,9611,5152437,3945,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-20,566,14130,76,991,35,1858,1.0934559632,0.1,8439,1737687,9262,5151002,3801,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-21,554,14130,71,991,32,1858,1.0958285117,0.1,8449,1739209,8926,5149620,3662,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-22,542,14130,67,991,30,1858,1.0974892987,0.10341870730000001,8458,1740675,8602,5148288,3528,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-23,532,14130,63,991,27,1858,nan,nan,8468,1742087,8289,5147005,3399,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-24,521,14130,58,991,25,1858,nan,nan,8476,1743448,7988,5145764,3278,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-25,511,14130,54,991,23,1858,nan,nan,8485,1744770,7707,5144509,3211,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-26,501,14130,51,991,20,1858,nan,nan,8493,1746083,7470,5143175,3233,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-27,492,14130,47,991,18,1858,nan,nan,8501,1747415,7295,5141759,3317,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-28,483,14130,44,991,16,1858,nan,nan,8509,1748793,7194,5140254,3444,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-29,476,14130,41,991,15,1858,nan,nan,8516,1750231,7168,5138648,3612,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-30,469,14130,38,991,13,1858,nan,nan,8523,1751746,7214,5136924,3821,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-07-31,464,14130,36,991,12,1858,nan,nan,8530,1753354,7337,5135064,4073,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-01,459,14130,34,991,11,1858,nan,nan,8537,1755075,7540,5133043,4372,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-02,456,14130,33,991,10,1858,nan,nan,8543,1756929,7825,5130836,4726,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-03,455,14130,32,991,9,1858,nan,nan,8550,1758939,8201,5128408,5144,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-04,454,14130,31,991,9,1858,nan,nan,8556,1761136,8675,5125716,5639,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-05,456,14130,31,991,9,1858,nan,nan,8563,1763552,9261,5122714,6225,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-06,459,14130,32,991,9,1858,nan,nan,8569,1766230,9975,5119342,6920,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-07,465,14130,33,991,10,1858,nan,nan,8576,1769214,10837,5115534,7743,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-08,472,14130,36,991,11,1858,nan,nan,8583,1772554,11861,5111294,8643,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-09,482,14130,38,991,13,1858,nan,nan,8590,1776269,13034,5106646,9576,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-10,495,14130,42,991,15,1858,nan,nan,8597,1780377,14347,5101540,10574,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-08-11,510,14130,47,991,18,1858,nan,nan,8605,1784910,15801,5095922,11659,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
