fips,hsa,hsa_name
08091,761,"Montrose, CO - Delta, CO"
08093,688,"Denver (Denver), CO - Jefferson, CO"
08095,763,"Logan, CO - Phillips, CO"
08097,711,"Mesa, CO - Garfield, CO"
08099,745,"Otero, CO - Prowers, CO"
08101,704,"Pueblo (Pueblo), CO - Las Animas, CO"
08103,711,"Mesa, CO - Garfield, CO"
08105,731,"Alamosa, CO - Rio Grande, CO"
08107,735,"Routt, CO - Moffat, CO"
08109,731,"Alamosa, CO - Rio Grande, CO"
08111,740,"San Juan, NM - Navajo, AZ"
08113,761,"Montrose, CO - Delta, CO"
08115,763,"Logan, CO - Phillips, CO"
08117,688,"Denver (Denver), CO - Jefferson, CO"
08119,754,"El Paso (Colorado Springs), CO - Teller, CO"
08121,760,"Weld, CO - Morgan, CO"
08123,760,"Weld, CO - Morgan, CO"
08125,760,"Weld, CO - Morgan, CO"
09001,121,"Fairfield, CT"
09003,004,"Hartford (Hartford), CT - Tolland, CT"
09005,085,"New Haven (New Haven), CT - Litchfield, CT"
09007,085,"New Haven (New Haven), CT - Litchfield, CT"
09009,085,"New Haven (New Haven), CT - Litchfield, CT"
09011,020,"Providence (Providence), RI - New London, CT"
09013,004,"Hartford (Hartford), CT - Tolland, CT"
09015,004,"Hartford (Hartford), CT - Tolland, CT"
10001,003,"Sussex, DE - Kent, DE"
10003,075,"New Castle (Wilmington), DE - Harford, MD"
10005,003,"Sussex, DE - Kent, DE"
12001,159,"Alachua (Gainesville), FL - Columbia, FL"
12003,158,"Duval (Jacksonville), FL - Clay, FL"
12005,155,"Bay (Panama City), FL - Jackson, FL"
12007,159,"Alachua (Gainesville), FL - Columbia, FL"
12009,237,"Brevard (Palm Bay), FL - Indian River, FL"
12011,200,"Miami-Dade (Miami), FL - Broward, FL"
12013,155,"Bay (Panama City), FL - Jackson, FL"
12015,213,"Sarasota (Sarasota), FL - Charlotte, FL"
12017,233,"Marion (Ocala), FL - Citrus, FL"
12019,158,"Duval (Jacksonville), FL - Clay, FL"
12021,165,"Lee (Cape Coral), FL - Collier, FL"
12023,159,"Alachua (Gainesville), FL - Columbia, FL"
